time,open,high,low,close,Volume,BB 상단,BB 중단,BB 하단,MA90,MA120,EMA13,EMA28
1665667800,134.99,142.61,134.37,141.7,3856746,194.23509066223752,151.5325208333335,108.82995100442949,156.2102222222224,157.1399166666665,141.31683206823183,144.180998443975
1665682200,141.74,143.59,140.91,142.91,1847016,194.13034803129545,151.4536875000002,108.77702696870493,155.91922222222237,157.05558333333315,141.54442748705586,144.09334337887327
1665754200,144.31,144.51,138.95,139.26,3065436,194.09927188482226,151.36672916666686,108.63418644851146,155.5842222222224,156.9249166666665,141.21808070319074,143.76000935274408
1665768600,139.27,139.57,138.19,138.3,2332375,194.02422190316813,151.26422916666687,108.5042364301656,155.2484444444446,156.78266666666647,140.80121203130633,143.38345698358933
1666013400,141.065,142.68,140.28,142.42,2397251,193.97700555599545,151.19735416666683,108.4177027773382,154.92555555555572,156.6874166666665,141.03246745540542,143.31701167437626
1666027800,142.42,142.89,142.11,142.4,1380669,193.95242280425492,151.13743750000017,108.32245219574543,154.5952222222224,156.5897499999998,141.22782924749038,143.25376948993653
1666099800,145.57,146.69,142.98,144.96,2392006,193.8773176818259,151.07956250000018,108.28180731817446,154.28277777777797,156.5180416666665,141.7609964978489,143.37144055959607
1666114200,144.95,145.62,140.61,143.74,2711662,193.84230991324165,151.02627083333354,108.21023175342543,153.9558888888891,156.44104166666648,142.0437112838705,143.39685845203772
1666186200,141.63,144.93,141.5,142.69,1830326,193.6873481518818,150.9396041666669,108.19186018145201,153.6197222222224,156.36262499999984,142.13603824331756,143.3481095932765
1666200600,142.67,143.96,142.28,143.91,1171898,193.51289987507184,150.85677083333357,108.2006417915953,153.29594444444461,156.29887499999987,142.38946135141504,143.38686065580916
1666272600,143.02,145.88,142.95,144.29,2377717,193.4133181343164,150.79093750000024,108.16855686568408,152.95905555555575,156.2144583333332,142.66096687264147,143.44914612782233
1666287000,144.29,144.34,142.65,143.32,1606068,193.35919671833878,150.7310625000002,108.10292828166163,152.61094444444464,156.10337499999983,142.75511446226412,143.44023949831734
1666359000,142.87,146.2,142.65,145.86,2995611,193.33100310583822,150.6953125000002,108.05962189416218,152.29361111111132,156.0107916666665,143.19866953908354,143.60711953291616
1666373400,145.87,147.845,145.79,147.28,1459349,193.2550660187305,150.6511041666669,108.04714231460329,151.9950000000002,155.9268749999998,143.78171674778588,143.86042163409437
1666618200,147.27,148.81,146,148.06,2550716,193.1437423939683,150.60181250000022,108.05988260603216,151.728777777778,155.80829166666646,144.39290006953075,144.15004772829477
1666632600,148.07,150.22,147.94,149.56,1174975,193.0429422234506,150.56089583333357,108.07884944321654,151.484777777778,155.69987499999982,145.13105720245494,144.5231478849641
1666704600,150.13,151.87,149.38,151.48,1634335,192.89948952458923,150.5176041666669,108.13571880874457,151.29355555555577,155.61612499999984,146.03804903067567,145.00293078944932
1666719000,151.49,152.49,151.16,152.35,1220511,192.65455504163015,150.46056250000024,108.26656995837034,151.1238888888891,155.53945833333316,146.93975631200772,145.50962521776316
1666791000,150.96,151.98,149.42,149.47,2245380,192.58141591532248,150.42681250000024,108.272209084678,150.9170000000002,155.44204166666648,147.30121969600663,145.78275451308983
1666805400,149.47,149.51,148.04,149.5,1908949,192.5192300457602,150.39635416666687,108.27347828757354,150.72000000000023,155.35420833333316,147.61533116800567,146.03911627080777
1666877400,148.07,149.04,144.88,145.13,2492614,192.43307300422816,150.34068750000023,108.24830199577231,150.47500000000022,155.18145833333313,147.26028385829056,145.97641859695895
1666891800,145.135,145.38,144.13,144.98,1773742,192.36363992016308,150.28881250000023,108.21398507983739,150.22333333333353,155.0052916666665,146.9345290213919,145.90770007303075
1666963800,148.055,156.99,147.82,156.71,5013201,192.4031948786104,150.3029791666669,108.20276345472337,150.08755555555578,154.93245833333316,148.3310248754788,146.6526862748907
1666978200,156.72,157.5,155.36,155.71,1713224,192.4372039310171,150.3171041666669,108.19700440231668,149.92733333333354,154.84837499999983,149.38516417898182,147.2773286007603
1667223000,153.18,154.14,151.92,153.96,1878618,192.4299718942056,150.31422916666688,108.19848643912816,149.80133333333353,154.7545416666665,150.038712153413,147.73820249036305
1667237400,153.96,154.24,152.62,153.42,1113156,192.41901853893134,150.30964583333355,108.20027312773576,149.68800000000022,154.65545833333317,150.521753274354,148.13005059447593
1667309400,155.08,155.42,149.14,150.025,2798783,192.42274248802875,150.31570833333356,108.20867417863838,149.5563888888891,154.5314999999998,150.45078852087488,148.26073676037416
1667323800,150.01,151.085,149.62,150.6,1390591,192.42850662997847,150.3323333333336,108.23616003668873,149.4366666666669,154.41233333333315,150.4721044464642,148.4220652596587
1667395800,148.945,150.37,148.195,148.81,1594438,192.40203268815208,150.36139583333357,108.32075897851506,149.3306666666669,154.2749999999998,150.23466095411217,148.44881937968222
1667410200,148.82,152.16,145,145.01,3495054,192.3865808960616,150.37164583333362,108.35671077060564,149.1761111111113,154.10895833333316,149.48828081781042,148.21165942246276
1667482200,142.07,142.8,139.26,140.06,2675993,192.43256304650924,150.34343750000025,108.25431195349125,148.967777777778,153.8757916666665,148.1413835581232,147.64947601401704
1667496600,140.04,140.34,138.77,138.89,1439045,192.49361118237834,150.30910416666694,108.12459715095555,148.76461111111132,153.62404166666647,146.81975733553418,147.0453742199469
1667568600,142.09,142.67,134.46,134.84,3829781,192.62200455850507,150.26008333333363,107.89816210816218,148.53205555555576,153.33595833333314,145.10836343045787,146.20362427374366
1667583000,134.845,138.5,134.38,138.39,1816520,192.68534499904774,150.2302083333336,107.77507166761944,148.314277777778,153.08487499999984,144.14859722610674,145.66475363417513
1667831400,137.11,138.22,135.68,137.09,1874259,192.7708461434628,150.1842083333336,107.59757052320441,148.09972222222243,152.79829166666647,143.14022619380577,145.07339131457684
1667845800,137.11,139.14,136.85,138.98,1139114,192.8250339191196,150.1412083333336,107.4573827475476,147.912277777778,152.5220416666665,142.54590816611923,144.6531574308129
1667917800,140.41,141.43,138.04,139.63,1614358,192.85015750269932,150.1310833333336,107.4120091639679,147.750277777778,152.2432916666665,142.12934985667363,144.30673278041203
1667932200,139.64,140.64,137.49,139.49,1226681,192.86572386477127,150.12537500000025,107.38502613522923,147.58294444444468,151.96270833333315,141.75229987714883,143.9745443127974
1668004200,138.53,138.55,135.77,135.92,1663659,192.8861777059258,150.12037500000028,107.35457229407476,147.375277777778,151.65416666666653,140.9191141804133,143.41905849812173
1668018600,135.9,135.9,134.6,134.87,1435877,192.9294828244615,150.1101666666669,107.29085050887232,147.14094444444467,151.33599999999984,140.05495501178282,142.82946825687196
1668090600,141.24,143.725,140.4,143.63,2709054,192.7734124310442,150.15525000000028,107.53708756895637,147.02861111111133,151.07783333333316,140.56567572438527,142.88467734260493
1668105000,143.63,146.85,143.38,146.83,2106434,192.69616940570074,150.19387500000028,107.69158059429981,146.94372222222245,150.84599999999983,141.46057919233024,143.1567685603563
1668177000,145.82,149.3,144.4,149.2,2527297,192.67364771925494,150.2240833333336,107.77451894741225,146.85650000000018,150.63583333333315,142.56621073628307,143.5735431424007
1668191400,149.19,150,148.77,149.63,2027192,192.66133339063106,150.25116666666693,107.84099994270282,146.77061111111132,150.43145833333315,143.57532348824262,143.99122982223514
1668436200,149.03,149.8,147.43,149.72,1684119,192.60008065871205,150.29766666666694,107.99525267462184,146.61616666666686,150.24562499999985,144.45313441849368,144.3863174207017
1668450600,149.72,150.25,148.07,148.4,1127520,192.5593560116432,150.33079166666693,108.10222732169066,146.44916666666683,150.05295833333315,145.01697235870887,144.6631231158257
1668522600,152.25,153.59,149.685,149.89,2252138,192.5061691891893,150.37520833333363,108.24424747747796,146.3757222222224,149.89629166666649,145.7131191646076,145.02359738369978
1668537000,149.88,150.89,148.57,150.03,2019368,192.4704985587983,150.41416666666694,108.35783477453558,146.33294444444462,149.7497083333332,146.32981642680653,145.3688665296515
1668609000,149.02,149.85,147.3,149.18,1640583,192.4572224742875,150.43791666666695,108.4186108590464,146.26761111111128,149.59212499999984,146.7369855086913,145.63170332071002
1668623400,149.17,149.33,148.29,148.84,922582,192.4446797068099,150.45925000000028,108.47382029319067,146.19561111111128,149.43887499999985,147.03741615030683,145.85296516066106
1668695400,146.49,151.48,146.18,151.28,1575906,192.45371414677874,150.47079166666694,108.48786918655516,146.1664444444446,149.30637499999983,147.64349955740585,146.22724342544305
1668709800,151.3,151.45,149.54,150.72,1269622,192.45787912705225,150.47554166666694,108.49320420628162,146.14822222222242,149.1654583333332,148.0829996206336,146.53708870644698
1668781800,152.22,152.4,149.98,151.21,1652257,192.46456160571006,150.48250000000024,108.50043839429043,146.16966666666684,149.01779166666654,148.52971396054306,146.85935845082994
1668796200,151.21,151.91,150.78,151.37,1514823,192.47361095788176,150.49316666666692,108.51272237545209,146.17966666666683,148.8614583333332,148.93546910903692,147.17043717835892
1669041000,150.155,150.25,147.715,148.57,1334617,192.47380943604878,150.4940416666669,108.51427389728502,146.1272222222224,148.7220416666665,148.88325923631734,147.2669587522652
1669055400,148.57,149.03,147.89,147.92,765902,192.4732626909468,150.49079166666692,108.50832064238706,146.05377777777795,148.5912083333332,148.74565077398628,147.31199607969518
1669127400,148.1,149.77,146.93,149.68,971117,192.47166047159243,150.48875000000024,108.50583952840805,145.98300000000017,148.48962499999985,148.87912923484538,147.47530669488862
1669141800,149.68,150.42,149.46,150.19,931116,192.46695817169544,150.48441666666687,108.50187516163831,145.90811111111128,148.3964166666665,149.06639648701034,147.66252692282734
1669213800,149.49,151.82,149.35,150.12,1173280,192.46588672316835,150.50433333333356,108.54277994349876,145.82905555555573,148.3278333333332,149.2169112745803,147.83200782470132
1669228200,150.14,151.42,149.79,151.12,1005600,192.46884586169222,150.5285416666669,108.5882374716416,145.80005555555573,148.2628333333332,149.4887810924974,148.05876590575642
1669386600,148.305,148.87,147.12,148.11,1415212,192.46556129138762,150.53787500000024,108.61018870861287,145.75238888888904,148.17366666666652,149.29181236499775,148.06229929156632
1669401000,148.02,148.12,148.02,148.12,63,192.46298204102385,150.54625000000024,108.62951795897663,145.7017222222224,148.0982083333332,149.1244105985695,148.06627865076865
1669645800,145.175,146.63,144.7,144.91,1602178,192.47013030267127,150.5326666666669,108.59520303066253,145.6487222222224,148.00770833333317,148.522351941631,147.84860426106047
1669660200,144.91,144.945,143.4,144.2,1319945,192.48053389705282,150.5140000000002,108.5474661029476,145.5777222222224,147.8927916666665,147.90487309282656,147.59697638098734
1669732200,144.35,144.8,140.53,140.54,2055221,192.52321393019108,150.48350000000025,108.44378606980942,145.46416666666684,147.76062499999983,146.85274836527992,147.11028835471237
1669746600,140.54,141.58,140.36,141.18,1207175,192.55832888658935,150.45500000000024,108.35167111341113,145.3577222222224,147.63837499999985,146.0423557416685,146.7013029509391
1669818600,141.38,142.36,140.56,141.55,1156510,192.5867640179248,150.43645833333358,108.28615264874236,145.24927777777796,147.53287499999985,145.40059063571587,146.34604067846053
1669833000,141.57,148,141.2,148,2470855,192.56535787488573,150.4589166666669,108.35247545844808,145.20738888888906,147.4782916666665,145.77193483061362,146.4601068385667
1669905000,148.18,149.13,146.62,147.92,1836585,192.48982558045523,150.49987500000023,108.50992441954523,145.20727777777796,147.42254166666652,146.0788012833831,146.5607891255621
1669919400,147.91,149,147.86,148.32,1064789,192.3978494209817,150.54645833333356,108.69506724568545,145.19094444444463,147.35887499999984,146.39897252861408,146.68211401345437
1669991400,145.96,146.98,145.66,146.4,1554450,192.22805356164503,150.60104166666687,108.97402977168872,145.23627777777793,147.29770833333316,146.39911931024065,146.66265787459545
1670005800,146.385,148,146.09,147.82,1129886,192.01877239375094,150.6673750000002,109.31597760624945,145.29438888888905,147.24229166666652,146.60210226592056,146.74247457289923
1670250600,147.75,150.91,146.38,146.67,1529087,191.84224948587936,150.72320833333353,109.6041671807877,145.35672222222234,147.15579166666652,146.61180194221762,146.73747632649238
1670265000,146.68,146.885,145.78,146.66,862217,191.65282409710304,150.7807500000002,109.90867590289739,145.45294444444457,147.06662499999987,146.61868737904368,146.73213313156188
1670337000,147.06,147.28,143.57,143.82,1519926,191.50793570998798,150.82075000000023,110.13356429001249,145.47338888888902,146.90162499999988,146.21887489632314,146.53129636386797
1670351400,143.81,143.96,141.92,142.91,1137654,191.39522987345708,150.8520416666669,110.30885345987673,145.47894444444458,146.73062499999986,145.7461784825627,146.2815517870495
1670423400,142.275,143.36,140.59,141.37,1843723,191.19461065373287,150.89416666666688,110.59372267960089,145.43983333333347,146.60454166666656,145.1210101279109,145.9428240775978
1670437800,141.35,141.45,140.01,140.96,1039843,190.9618701530251,150.9395000000002,110.91712984697531,145.38250000000014,146.49687499999987,144.5265801096379,145.5991810377635
1670509800,142.38,143.52,141.11,142.77,1332257,190.7744305382858,150.98254166666686,111.19065279504792,145.34783333333345,146.3944583333332,144.27564009397534,145.4040651041246
1670524200,142.8,143.27,141.55,142.64,917859,190.55730186475907,151.0293333333335,111.50136480190795,145.30583333333345,146.28879166666653,144.04197722340743,145.2134399245298
1670596200,142.34,145.57,140.93,144.11,1909014,190.43832550909457,151.06354166666688,111.68875782423919,145.279388888889,146.20716666666655,144.05169476292065,145.13734061938982
1670610600,144.11,144.47,142.07,142.18,1033561,190.33564987753675,151.08983333333353,111.84401678913032,145.24305555555569,146.12233333333324,143.78430979678913,144.93338609391466
1670855400,142.7,142.99,141.07,142.37,1184498,190.24067956786,151.1148750000002,111.98907043214041,145.2662777777779,146.06474999999992,143.58226554010497,144.7566008460585
1670869800,142.36,144.5,142.22,144.5,900051,190.10274034282753,151.15316666666686,112.20359299050621,145.31472222222234,146.0149999999999,143.71337046294713,144.7389042359855
1670941800,149.67,149.96,144.24,145.54,3036789,189.9817391396984,151.19108333333355,112.40042752696871,145.37672222222238,145.95041666666654,143.97431753966896,144.79415221971064
1670956200,145.55,146.13,144.29,145.48,1416247,189.89561994236269,151.22120833333352,112.54679672430436,145.43350000000012,145.8749999999999,144.18941503400197,144.84145206662714
1671028200,145.41,146.65,145.08,145.79,1080137,189.83688994096164,151.24520833333355,112.65352672570546,145.49672222222236,145.7894999999999,144.41807002914453,144.90686916548043
1671042600,145.81,146.6,141.16,143.2,2864092,189.82204563838877,151.2508750000002,112.67970436161166,145.54383333333348,145.6750833333332,144.24406002498102,144.78915405061971
1671114600,141.11,141.8,136.68,136.96,2660586,189.90544235850265,151.22912500000024,112.55280764149782,145.51994444444458,145.50612499999988,143.2034800214123,144.2492123919563
1671129000,136.96,137.25,136.03,136.49,2144053,189.99269762049465,151.20733333333357,112.42196904617248,145.4999444444446,145.36245833333322,142.24441144692483,143.7140942959593
1671201000,136.685,137.65,133.94,134.02,2356567,190.09746385821063,151.18658333333354,112.27570280845646,145.41461111111127,145.20929166666656,141.06949552593557,143.04553606865178
1671215400,134.02,135.45,133.73,134.5,2014139,190.162911945575,151.17408333333353,112.18525472109206,145.3211666666668,145.05779166666656,140.13099616508762,142.45618875357235
1671460200,135.11,135.2,131.46,132.645,1559233,190.3043930323572,151.1471875000002,111.98998196764319,145.24766666666685,144.9158333333332,139.06156814150367,141.77955504642944
1671474600,132.62,132.68,131.33,132.35,1339284,190.45551253616384,151.11839583333355,111.78127913050326,145.18155555555572,144.76383333333322,138.10277269271742,141.12924090529637
1671546600,131.62,133.24,129.89,132.285,2012200,190.57551418294975,151.09695833333353,111.61840248371732,145.0689444444446,144.6098749999999,137.27166230804352,140.51929325665523
1671561000,132.285,132.74,131.53,132.29,1035425,190.68290645571,151.07808333333352,111.47326021095706,144.95661111111127,144.4559583333332,136.5599962640373,139.95175579067902
1671633000,133.03,136.8,132.76,135.19,2074854,190.7219494192039,151.07033333333354,111.41871724746319,144.8480555555557,144.32162499999987,136.36428251203196,139.6233588395977
1671647400,135.18,136.11,135.02,135.45,1162301,190.7888605964002,151.0557500000002,111.32263940360016,144.7559444444446,144.18562499999987,136.23367072459882,139.33554098859096
1671719400,134.4,134.53,130.36,130.485,1929821,190.9978310503273,151.01689583333354,111.03596061633978,144.6203333333335,144.04024999999984,135.41243204965613,138.72515885144676
1671733800,130.48,132.36,130.3,132.23,1413349,191.17832566135644,150.97781250000023,110.77729933864401,144.49055555555572,143.8939166666665,134.95779889970527,138.2772168616918
1671805800,130.92,132.41,129.67,131.31,1515852,191.38848230578134,150.93247916666687,110.4764760275524,144.34633333333346,143.80216666666652,134.43668477117595,137.79671914709238
1671820200,131.35,131.99,130.81,131.85,698087,191.58858824029713,150.88622916666688,110.18387009303663,144.218888888889,143.7126666666665,134.06715837529367,137.38660058522393
